TargetDate,TargetCode,MatchDate,MatchCode,MatchType,NextDate,NextOpen,NextHigh,NextLow,NextClose,NextVolume,NextOpenChange,NextHighMove,NextLowMove,NextCloseMove,VCodeDiff
2026-04-06,31331,2019-06-19,31332,near,2019-06-20,28.250999450683594,28.545000076293945,27.715999603271484,27.905000686645508,57291000,0.018090702058800968,0.010406733613923086,0.01893737771458432,-0.01224731056478477,1
2026-04-06,31331,2021-05-17,31332,near,2021-05-18,44.391998291015625,44.444000244140625,43.327999114990234,43.374000549316406,17824000,0.00904666123807452,0.0011714262733589205,0.023968264934825664,-0.02293200984163059,1
2026-04-06,31331,2022-05-24,31332,near,2022-05-25,52.38999938964844,53.744998931884766,52.38999938964844,53.16299819946289,17842000,-0.0005722773816243072,0.025863706013023124,0.0,0.014754701638099032,1
2026-04-06,31331,2023-06-15,31332,near,2023-06-16,88.9280014038086,88.99500274658203,86.54499816894531,86.81099700927734,68299000,0.006621906309659293,0.0007534335835255595,0.026796995291083,-0.023805824499734944,1
2026-04-06,31331,2023-07-11,31332,near,2023-07-12,88.9000015258789,89.75900268554688,88.19999694824219,88.99500274658203,28197000,0.007879368294276566,0.00966255506101327,0.00787406710485766,0.0010686301357989293,1
2026-04-06,31331,2024-01-10,31331,near,2024-01-11,108.43199920654295,110.12999725341795,107.45099639892578,109.9980010986328,25757000,0.003470390652651896,0.015659565988824266,0.009047170713403005,0.014442248630931345,0
2026-04-06,31331,2025-02-13,31331,near,2025-02-14,234.52999877929688,235.7400054931641,228.8999938964844,233.0399932861328,16988800,-0.005385938320713987,0.005159283333326948,0.024005478668469,-0.006353155250583631,0
2026-04-06,31331,2025-07-16,31331,near,2025-07-17,281.1400146484375,288.2799987792969,279.9100036621094,286.45001220703125,17231100,0.0011752326936824559,0.025396541789996868,0.004375083311659637,0.018887377398887326,0
2026-04-06,31331,2025-09-24,31331,near,2025-09-25,332.989990234375,338.05999755859375,327.29998779296875,336.1000061035156,21678200,-0.018626056908704492,0.01522570489476343,0.017087608061135236,0.009339667738815933,0
2026-04-06,31331,2025-10-09,31332,near,2025-10-10,345.3900146484375,350.6000061035156,324.04998779296875,324.6300048828125,28941000,0.001072475933418925,0.015084371968255147,0.061785303426302424,-0.060105992892573956,1
